iteration,total number of tokens sent,total number of tokens recv,latency (ms),comp latency (ms),expert distribution
0,5100,9935,105.36243438720703,8.471551895141602,"[20, 44, 0, 11, 0, 0, 3, 0, 7, 1, 1, 1, 18, 0, 3, 2, 1, 56, 615, 221, 32, 0, 135, 5, 27, 12, 1, 0, 3, 0, 56, 0, 0, 4, 195, 69, 158, 2, 0, 257, 2, 2, 0, 0, 1, 3, 119, 25, 14, 32, 0, 0, 783, 13, 6, 3, 29, 0, 0, 4, 132, 238, 12, 16, 0, 0, 0, 0, 7, 0, 123, 2, 6, 2, 0, 2, 0, 2, 2, 5, 5, 0, 209, 0, 1, 1, 27, 6, 55, 1, 20, 11, 15, 7, 26, 5, 16, 0, 1, 2, 14, 362, 0, 6, 9, 2, 15, 24, 0, 168, 9, 1, 27, 83, 0, 18, 0, 13, 9, 19, 2, 94, 10, 192, 0, 46, 23, 1]"
1,5100,9942,100.06118774414062,8.32307243347168,"[15, 60, 0, 8, 0, 0, 0, 0, 5, 1, 1, 0, 19, 0, 4, 1, 0, 57, 630, 204, 23, 0, 117, 7, 29, 14, 1, 0, 4, 0, 73, 0, 0, 9, 277, 61, 136, 1, 0, 267, 2, 1, 0, 0, 0, 2, 137, 20, 15, 31, 0, 0, 779, 14, 6, 5, 28, 0, 1, 2, 135, 212, 12, 13, 0, 0, 0, 0, 9, 0, 117, 1, 5, 3, 1, 8, 0, 1, 0, 1, 5, 0, 167, 0, 0, 0, 21, 3, 48, 4, 18, 17, 8, 5, 13, 2, 11, 0, 1, 2, 21, 409, 2, 10, 6, 4, 8, 23, 1, 161, 10, 1, 24, 96, 0, 11, 0, 12, 8, 8, 1, 97, 5, 207, 0, 43, 22, 0]"
